counter,mq2,mq3,mq4,mq5,mq6,mq7,mq8,mq9,mq135
0,492,475,460,438,409,404,416,414,472
1,465,467,467,459,445,429,423,414,431
2,435,440,443,443,435,429,427,420,421
3,424,425,426,427,424,421,421,417,417
4,421,421,422,422,423,419,418,414,414
5,416,415,412,410,405,405,407,406,408
6,412,411,409,405,400,398,398,397,401
7,408,408,409,408,407,402,400,397,398
8,404,403,402,399,394,394,395,393,396
9,401,400,398,395,389,387,388,387,391
10,399,399,401,399,398,393,391,388,390
11,397,396,395,392,388,387,388,387,389
12,395,394,392,388,382,381,382,381,385
13,395,395,396,394,393,388,386,383,385
14,393,392,391,389,385,384,385,383,385
15,392,391,388,385,379,378,379,378,382
16,392,392,393,391,390,384,383,380,382
17,391,390,389,387,383,382,383,381,383
18,390,389,386,383,376,375,377,376,380
19,390,390,392,390,389,383,382,379,381
20,389,388,388,386,383,381,382,380,382
21,388,387,385,381,374,373,375,375,379
22,389,389,390,388,387,382,380,378,379
23,389,388,388,386,383,381,382,380,381
24,388,387,384,381,374,374,375,375,379
25,389,389,390,388,386,381,380,377,379
26,389,388,388,386,383,381,381,379,381
27,388,387,384,381,375,374,375,375,379
28,388,388,389,387,386,380,379,377,379
29,388,388,388,386,384,381,381,379,380
30,387,386,384,380,374,374,375,375,378
31,388,388,388,386,384,379,378,376,378
32,388,387,387,385,384,381,381,379,380
33,387,386,383,380,373,373,375,374,378
34,388,388,388,386,384,379,378,376,378
35,388,387,388,386,384,381,381,379,380
36,387,386,383,380,374,374,375,375,378
37,388,388,388,386,383,379,378,376,378
38,388,388,389,387,385,382,381,379,380
39,387,386,383,380,374,374,376,375,379
40,388,388,388,385,383,378,377,375,378
41,388,388,389,387,386,382,382,379,380
42,387,386,384,380,374,374,376,376,379
43,387,387,387,385,382,377,377,375,378
44,388,388,389,387,386,382,382,379,380
45,387,386,383,380,374,374,376,376,379
46,387,387,387,384,381,377,376,375,378
47,388,388,389,387,387,382,381,379,379
48,387,386,383,380,374,374,376,375,379
49,387,387,386,383,380,376,376,374,377
50,388,388,389,387,387,382,382,379,380
51,387,386,383,380,374,374,376,376,379
52,387,387,386,383,379,376,376,374,377
53,388,388,389,388,387,382,381,379,379
54,387,386,384,381,375,374,376,376,379
55,387,386,385,382,377,374,374,373,377
56,388,387,389,387,387,382,381,378,379
57,387,385,384,381,375,375,377,376,379
58,387,386,385,382,377,374,374,373,377
59,387,387,389,387,387,382,381,378,379
60,387,386,384,381,376,375,377,376,379
61,386,386,384,381,376,373,374,373,377
62,387,387,389,387,387,381,380,377,378
63,386,385,384,381,376,376,377,376,378
64,386,386,384,381,375,373,374,373,377
65,388,388,389,387,386,382,380,378,379
66,387,386,384,382,377,376,378,377,379
67,386,386,384,381,375,373,374,373,377
68,388,388,389,387,386,381,380,377,378
69,387,386,385,382,378,377,378,377,379
70,387,386,384,381,374,373,374,373,377
