mq2,mq3,mq4,mq6,mq7,mq8,mq9,mq135,presence
213,281,404,452,524,483,579,573,0
213,281,404,453,525,483,580,574,0
213,281,404,453,525,483,580,574,0
213,281,404,453,525,483,581,574,0
212,281,404,453,525,484,581,575,0
213,281,405,453,525,484,580,574,0
213,281,404,453,525,483,580,574,0
213,281,404,453,526,484,581,575,0
213,281,404,453,525,484,581,575,0
213,281,405,453,525,484,581,574,0
213,282,404,453,526,483,581,575,0
213,281,404,453,525,484,581,575,0
213,281,404,453,525,484,581,575,0
213,281,404,453,525,484,581,574,0
213,281,404,454,525,483,581,574,0
213,281,404,453,525,484,581,574,0
212,281,404,453,525,484,580,574,0
212,281,404,453,525,484,581,574,0
212,281,404,453,525,484,581,574,0
212,281,404,453,525,483,580,574,0
212,281,404,453,525,483,580,574,0
212,281,404,453,525,484,581,574,0
212,281,404,453,525,484,580,574,0
212,281,404,452,524,484,580,574,0
212,281,404,453,525,484,580,574,0
212,281,404,453,525,484,580,574,0
212,281,404,452,524,483,580,574,0
212,281,404,453,524,483,580,574,0
212,281,404,453,524,484,580,574,0
212,281,404,453,525,484,580,574,0
211,281,404,453,525,483,580,573,0
211,281,404,452,525,484,580,573,0
212,281,404,452,525,484,580,574,0
211,281,404,452,525,484,580,573,0
212,281,403,452,524,484,580,574,0
211,281,404,452,524,483,580,573,0
211,281,404,452,525,483,580,573,0
211,281,403,452,525,483,580,573,0
211,281,404,453,524,484,580,573,0
211,280,403,452,525,483,580,573,0
211,281,404,452,524,484,580,573,0
211,281,404,452,524,484,580,573,0
211,281,403,452,524,484,580,573,0
211,280,404,452,524,483,580,573,0
211,280,404,452,524,483,580,573,0
211,280,403,452,524,484,580,573,0
210,280,403,452,524,483,580,573,0
210,281,403,452,524,484,580,573,0
211,281,403,452,525,484,580,573,0
211,281,404,452,524,483,580,573,0
210,280,403,452,524,484,580,573,0
210,280,403,452,524,484,580,572,0
210,280,403,452,524,484,579,572,0
210,280,403,451,524,484,579,572,0
210,280,403,452,524,483,579,572,0
210,281,403,452,524,483,580,573,0
210,280,403,451,524,483,580,572,0
210,281,403,452,524,483,579,572,0
210,280,403,452,524,484,579,572,0
209,280,403,451,524,484,579,573,0
210,280,403,451,524,483,579,572,0
210,280,403,451,524,484,579,572,0
210,280,403,451,524,484,579,572,0
209,280,403,451,524,483,579,572,0
209,280,403,451,524,483,579,572,0
209,280,403,452,523,483,579,572,0
210,280,403,451,523,483,579,572,0
209,280,403,451,523,483,579,572,0
209,280,403,451,524,484,579,572,0
209,280,403,451,524,484,579,572,0
209,280,403,451,523,483,579,572,0
209,280,403,451,523,483,579,571,0
209,280,403,451,523,483,579,571,0
209,280,403,451,523,483,579,572,0
209,280,403,451,523,483,579,571,0
209,280,403,451,524,483,579,572,0
209,280,403,451,523,483,579,572,0
209,280,403,451,523,483,579,571,0
209,280,403,451,523,483,579,571,0
209,280,403,451,523,483,579,571,0
209,280,402,450,523,483,579,571,0
209,280,402,450,524,484,579,571,0
208,280,403,451,523,483,579,571,0
208,280,402,451,523,483,579,571,0
209,280,402,450,523,483,578,571,0
209,280,403,451,523,483,579,571,0
208,280,403,451,523,483,578,571,0
208,280,403,451,523,483,579,571,0
208,280,402,450,523,483,578,571,0
208,280,403,451,523,483,578,571,0
208,280,402,450,523,484,579,571,0
208,280,402,451,523,483,579,571,0
208,280,402,450,523,483,579,571,0
208,280,403,450,523,483,578,571,0
208,280,402,450,523,483,579,571,0
208,280,402,450,523,483,578,571,0
208,280,402,450,523,483,578,570,0
208,280,402,450,523,483,578,570,0
208,280,402,450,523,483,578,571,0
207,280,402,450,523,483,578,571,0
207,280,402,450,523,483,578,570,0
207,280,402,450,522,484,578,571,0
208,280,402,450,523,483,578,570,0
207,279,402,450,522,483,578,570,0
207,280,402,450,523,483,578,570,0
208,280,402,450,522,483,578,570,0
207,280,402,450,522,483,578,570,0
207,279,402,450,523,483,578,570,0
207,280,402,450,522,483,578,570,0
207,280,402,450,522,483,577,570,0
207,280,402,450,523,483,578,570,0
206,280,402,450,522,483,578,570,0
207,280,402,450,523,483,578,570,0
207,280,402,450,522,483,578,570,0
207,280,402,450,522,483,578,570,0
207,280,402,449,523,483,578,569,0
206,280,401,449,522,483,578,569,0
206,279,402,450,522,483,578,570,0
207,280,402,450,522,483,578,570,0
206,280,402,450,522,483,577,570,0
206,280,402,450,522,483,577,569,0
207,280,402,449,522,483,578,569,0
206,279,402,449,522,483,577,569,0
206,279,402,449,522,483,577,569,0
206,280,402,449,522,483,577,570,0
206,280,402,450,522,483,577,569,0
206,279,401,449,522,483,577,569,0
206,280,402,449,522,483,577,570,0
206,279,401,449,522,483,578,569,0
206,280,401,449,522,483,577,569,0
206,279,402,449,522,483,577,569,0
206,279,401,449,522,483,577,569,0
205,279,402,449,522,483,577,569,0
206,280,401,449,522,483,577,569,0
206,279,402,449,522,483,577,569,0
206,279,402,449,522,483,577,569,0
206,280,401,449,522,483,577,569,0
206,279,401,449,522,483,577,569,0
206,279,402,449,522,483,578,569,0
205,279,402,449,522,483,577,569,0
206,279,401,449,522,483,577,569,0
205,279,401,449,522,483,577,569,0
205,279,401,449,522,483,577,569,0
205,279,401,449,522,483,577,569,0
205,279,401,449,522,483,577,568,0
205,280,401,449,521,483,577,569,0
205,279,401,449,522,483,577,569,0
205,279,401,449,521,483,577,568,0
205,279,401,448,522,483,577,569,0
205,279,402,449,522,483,577,569,0
205,279,401,449,521,483,577,568,0
205,279,401,449,521,483,577,568,0
205,279,401,448,522,483,577,568,0
204,279,401,448,521,483,577,568,0
204,279,401,448,521,483,577,568,0
204,279,401,449,521,483,577,568,0
204,279,401,448,521,483,577,568,0
203,279,400,448,521,483,577,568,0
204,278,400,447,521,483,577,568,0
203,278,400,447,521,483,577,568,0
203,278,400,447,521,483,577,568,0
203,278,400,447,521,483,576,568,0
203,278,400,447,521,483,576,568,0
203,278,400,447,521,483,577,567,0
203,278,400,447,521,483,576,567,0
203,278,399,447,521,483,576,567,0
203,278,399,447,521,483,576,568,0
202,278,400,447,521,483,576,567,0
203,278,399,447,521,483,576,567,0
203,278,400,447,521,483,576,567,0
203,278,399,447,521,482,576,567,0
202,278,400,446,521,483,576,568,0
202,278,400,447,521,483,576,567,0
202,278,400,446,521,483,576,567,0
202,278,399,446,521,482,576,567,0
202,278,399,446,521,483,576,567,0
202,278,399,446,521,482,576,567,0
202,278,399,446,521,482,576,567,0
202,278,399,447,520,483,576,567,0
202,278,399,446,521,482,576,567,0
202,278,399,447,520,483,576,567,0
202,278,399,447,520,483,576,567,0
202,278,399,446,521,482,576,567,0
201,278,399,446,520,482,576,567,0
201,278,399,446,521,483,575,566,0
202,278,399,446,521,482,576,567,0
201,278,399,446,520,482,576,566,0
201,278,399,446,520,482,576,567,0
201,278,399,446,520,483,576,567,0
201,278,399,446,521,483,576,566,0
201,278,399,447,521,483,576,566,0
201,278,399,446,521,482,575,566,0
200,278,399,446,520,483,576,567,0
201,278,399,446,520,483,576,566,0
201,278,399,446,520,483,575,566,0
201,277,399,445,520,483,575,566,0
201,278,399,446,520,483,575,566,0
200,278,399,446,520,483,575,566,0
200,277,399,445,520,483,575,566,0
200,277,399,445,520,482,575,566,0
200,277,398,446,520,483,575,566,0
200,277,399,445,520,483,575,566,0
200,277,399,446,520,482,575,566,0
200,278,399,446,520,483,575,566,0
200,277,399,445,520,482,575,566,0
200,278,399,445,520,482,575,565,0
200,277,399,445,520,482,576,566,0
200,278,399,446,520,483,575,566,0
200,277,398,445,520,482,575,566,0
200,278,399,445,520,482,575,565,0
200,277,399,446,520,482,575,565,0
200,278,398,446,520,482,575,566,0
200,277,399,445,520,482,575,566,0
200,277,399,445,520,482,575,565,0
199,278,398,445,519,482,575,565,0
199,277,398,445,520,482,575,565,0
199,277,398,445,519,482,575,565,0
199,277,398,445,519,482,575,565,0
200,277,398,445,520,483,575,565,0
199,277,398,445,519,482,575,565,0
199,277,398,445,519,482,575,565,0
199,277,398,445,520,483,575,565,0
199,277,398,445,521,483,576,567,0
199,277,399,445,522,485,577,568,0
199,277,398,445,522,485,577,568,0
199,277,398,445,520,483,576,566,0
199,277,398,445,521,484,577,567,0
198,277,399,445,521,484,577,567,0
199,277,398,445,521,484,576,567,0
198,277,398,445,521,484,577,566,0
198,277,398,445,521,484,576,566,0
198,277,399,445,521,483,576,566,0
198,277,398,445,520,484,576,566,0
198,277,398,445,520,483,576,566,0
198,277,398,445,520,483,576,566,0
198,277,398,445,520,483,576,566,0
198,277,398,445,520,483,576,566,0
198,277,398,445,521,484,576,566,0
198,277,398,445,520,484,576,566,0
198,277,398,445,520,483,576,566,0
198,277,398,444,520,484,576,566,0
198,277,398,445,520,483,576,566,0
198,277,398,444,520,483,575,565,0
198,277,398,444,520,483,576,566,0
198,277,398,445,520,483,576,566,0
198,277,398,444,520,483,575,565,0
198,277,398,444,520,483,576,565,0
198,277,398,445,520,483,576,565,0
197,277,398,444,520,483,575,565,0
198,277,398,444,520,483,575,565,0
197,277,397,444,520,483,575,565,0
198,277,398,444,520,483,575,565,0
198,277,398,444,520,483,575,565,0
197,277,398,444,520,483,575,565,0
197,277,397,444,520,483,575,565,0
197,277,398,444,520,483,575,565,0
197,277,397,444,520,483,575,565,0
197,277,398,444,519,483,575,565,0
