counter,mq2,mq3,mq4,mq6,humidity,temperature,presence
0,213,281,404,452,25.00,18.90,0
1,213,281,404,453,25.00,18.90,0
2,213,281,404,453,25.00,18.90,0
3,213,281,404,453,25.00,18.90,0
4,212,281,404,453,25.00,18.90,0
5,213,281,405,453,25.00,18.90,0
6,213,281,404,453,25.00,18.90,0
7,213,281,404,453,25.00,18.90,0
8,213,281,404,453,25.00,18.90,0
9,213,281,405,453,25.00,18.90,0
10,213,282,404,453,25.00,18.80,0
11,213,281,404,453,25.00,18.80,0
12,213,281,404,453,25.00,18.80,0
13,213,281,404,453,25.00,18.80,0
14,213,281,404,454,25.00,18.80,0
15,213,281,404,453,25.00,18.80,0
16,212,281,404,453,25.00,18.80,0
17,212,281,404,453,25.00,18.80,0
18,212,281,404,453,25.00,18.80,0
19,212,281,404,453,25.00,18.80,0
20,212,281,404,453,24.00,18.80,0
21,212,281,404,453,24.00,18.80,0
22,212,281,404,453,24.00,18.80,0
23,212,281,404,452,24.00,18.80,0
24,212,281,404,453,24.00,18.80,0
25,212,281,404,453,24.00,18.80,0
26,212,281,404,452,24.00,18.80,0
27,212,281,404,453,24.00,18.80,0
28,212,281,404,453,24.00,18.80,0
29,212,281,404,453,24.00,18.80,0
30,211,281,404,453,25.00,18.80,0
31,211,281,404,452,25.00,18.80,0
32,212,281,404,452,25.00,18.80,0
33,211,281,404,452,25.00,18.80,0
34,212,281,403,452,25.00,18.80,0
35,211,281,404,452,25.00,18.80,0
36,211,281,404,452,25.00,18.80,0
37,211,281,403,452,25.00,18.80,0
38,211,281,404,453,25.00,18.80,0
39,211,280,403,452,25.00,18.80,0
40,211,281,404,452,24.00,18.80,0
41,211,281,404,452,24.00,18.80,0
42,211,281,403,452,24.00,18.80,0
43,211,280,404,452,24.00,18.80,0
44,211,280,404,452,24.00,18.80,0
45,211,280,403,452,24.00,18.80,0
46,210,280,403,452,24.00,18.80,0
47,210,281,403,452,24.00,18.80,0
48,211,281,403,452,24.00,18.80,0
49,211,281,404,452,24.00,18.80,0
50,210,280,403,452,24.00,18.90,0
51,210,280,403,452,24.00,18.90,0
52,210,280,403,452,24.00,18.90,0
53,210,280,403,451,24.00,18.90,0
54,210,280,403,452,24.00,18.90,0
